ref;value;datasheet;Field1;Field2;Item count
C1,C2;100n;~;~;;;2
C3,C4;10uF;~;~;;;2
C5;18p;~;~;;;1
C6;100n;~;~;;;1
C7;10uF;~;~;;;1
C8;10n;~;~;;;1
C9;18p;~;~;;;1
C10;10uF;~;~;;;1
C12..C17;100n;~;~;;;6
C18,C19;12p;~;~;;;2
C22,C23;100n;~;~;;;2
C24..C27;100uF;~;~;;;4
C28..C34;100n;~;~;;;7
C35;470n;~;~;;;1
C36..C38;10n;~;~;;;3
C39;100n;~;~;;;1
C40..C42;470n;~;~;;;3
C43;100uF;~;~;;;1
C44..C46;100n;~;~;;;3
C47;3.3nF;~;~;;;1
C48..C54;100n;~;~;;;7
C55;10uF;~;~;;;1
C56..C65;100n;~;~;;;8
C67;10n;~;~;;;1
C68;470n;~;~;;;1
C69;100n;~;~;;;1
C70;100uF;~;~;;;1
C71;100n;~;~;;;1
CONN1;USB_MINI;~;~;;;1
D1..D4;LED;~;~;;;4
D5;DIODESCH;~;~;;;1
D6..D8;LED;~;~;;;3
D9,D10;DIODESCH;~;~;;;2
IC1..IC5;DRV8825;~;~;;;5
J1;SOLDER_JUMPER_3P;~;~;;;1
J2..J16; ;~;~;;;15
K1..K7;CONN_3;;;;;7
L1,L2;INDUCTOR;~;~;;;2
P1;CONN_8;;;;;1
P2..P4;CONN_2;;;;;3
P5..P7;CONN_4;;;;;3
P8;CONN_2;;;;;1
P9;CONN_4;;;;;1
P10;CONN_2;;;;;1
P11,P12;CONN_3X2;;;;;2
P13;CONN_4;;;;;1
R1;10k;~;~;;;1
R2..R6;1k;~;~;;;5
R7,R8;33R;~;~;;;2
R9;10k;~;~;;;1
R10;4K7;~;~;;;1
R11;1k5;~;~;;;1
R12..R16;4K7;~;~;;;5
R17;1k;~;~;;;1
R18,R19;10k;~;~;;;2
R20;4K7;~;~;;;1
R21..R24;0R05;~;~;;;4
R25,R26;1k;~;~;;;2
R27;10k;~;~;;;1
R28;1k;~;~;;;1
R29..R33;0R05;~;~;;;5
R34;4K7;~;~;;;1
R37;0R05;~;~;;;1
R41..R43;10k;~;~;;;3
R44,R45;3k3;~;~;;;2
R46..R48;5k6;~;~;;;3
R49..R51;1k;~;~;;;3
R52..R54;5k6;~;~;;;3
R55;5k8;~;~;;;1
U1;CONN_4_LERCHE;~;~;;;1
U2;SPST_MOMENTARY;~;~;;;1
U3;BSS84;~;~;;;1
U4;CONN_4_LERCHE;~;~;;;1
U5;MOS_NFET;~;~;;;1
U6;LPC1768_TQFP100;~;~;;;1
U7,U8;MOS_NFET;~;~;;;2
U9;CRYSTAL_SMALL;~;~;;;1
U10;MICRO-SD;;;;;1
U11;TC4427;;;;;1
U12;MCP4728;;;;;1
U13;CONN_4_LERCHE;~;~;;;1
U15;SPST_MOMENTARY;~;~;;;1
U16;CONN_4_LERCHE;~;~;;;1
U17;TC4427;;;;;1
U20;TPS6213X;;;;;1
U21,U22;CONN_4_LERCHE;~;~;;;2
U23;MCP4728;;;;;1
U24;MOS_NFET;~;~;;;1
U25;CONN_4_LERCHE;~;~;;;1
VREG1;AMS1117;~;~;;;1
